	B	78	Jiutepec	Mexico	Misión del Sol Resort & SPA		hotel	Jiutepec	800 999 9100								overture:2b27dee6-903c-4ab6-8245-01e87c7ff0fd	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.misiondelsol.com	reserv@misiondelsol.com									Permissive	Qualification	https://explore.overturemaps.org/#id=2b27dee6-903c-4ab6-8245-01e87c7ff0fd	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:2b27dee6-903c-4ab6-8245-01e87c7ff0fd	misiondelsol.com	8009999100	mision del sol resort spa	Jiutepec	Mexico	PERMISSIVE	domain:misiondelsol.com
	B	78	San Cristóbal de las Casas	Mexico	Hotel Villas Esperanza		hotel	Avenida Brasil	+529676788120								overture:f9853daf-0335-471b-93be-4cb1a0581cb0	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.lacasadelaabuela.com.mx/	hotelvillasesperanza@hotmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=f9853daf-0335-471b-93be-4cb1a0581cb0	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:f9853daf-0335-471b-93be-4cb1a0581cb0	lacasadelaabuela.com.mx	529676788120	hotel villas esperanza	San Cristóbal de las Casas	Mexico	PERMISSIVE	domain:lacasadelaabuela.com.mx
	B	78	Kissimmee	USA	Isole Villas		hotel	1297 Grand Traverse Pkwy	+18884765336								overture:e2a77b36-c66a-4bae-9f44-b31c28cb4261	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://Isolevillas.com/	inquiries@isolevillas.com									Permissive	Qualification	https://explore.overturemaps.org/#id=e2a77b36-c66a-4bae-9f44-b31c28cb4261	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:e2a77b36-c66a-4bae-9f44-b31c28cb4261	isolevillas.com	18884765336	isole villas	Kissimmee	USA	PERMISSIVE	domain:isolevillas.com
	B	78	Azcapotzalco	Mexico	Hotel Villas Coloniales		hotel	Calzada Camarones 575	+525553534258								overture:148c72d2-eae8-4bba-82fc-a87c59dffea3	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelvillascoloniales.mx/	villascoloniales@hotmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=148c72d2-eae8-4bba-82fc-a87c59dffea3	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:148c72d2-eae8-4bba-82fc-a87c59dffea3	hotelvillascoloniales.mx	525553534258	hotel villas coloniales	Azcapotzalco	Mexico	PERMISSIVE	domain:hotelvillascoloniales.mx
	B	78	Gustavo A Madero	Mexico	Hotel y Villas Juan Diego		hotel	Avenida Insurgentes Norte 1917	+525555772253								overture:47a5bbe8-0055-4b1b-bd55-66dd885221e8	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.hoteleshmo.mx/hotel-y-motel-juan-diego/	markonaaaaa@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=47a5bbe8-0055-4b1b-bd55-66dd885221e8	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:47a5bbe8-0055-4b1b-bd55-66dd885221e8	hoteleshmo.mx	525555772253	hotel y villas juan diego	Gustavo A Madero	Mexico	PERMISSIVE	domain:hoteleshmo.mx
	B	78	Boca del Río	Mexico	Costa Sol Hotel y Villas | Boca del Río		hotel	Avenida Veracruz s/n	+522299232100								overture:5ce30304-7300-44ce-aca6-3459850c8372	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelcostasol.com.mx/	reservasver@hotelcostasol.com.mx									Medium	Recall-first	https://explore.overturemaps.org/#id=5ce30304-7300-44ce-aca6-3459850c8372	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:5ce30304-7300-44ce-aca6-3459850c8372	hotelcostasol.com.mx	522299232100	costa sol hotel y villas boca del rio	Boca del Río	Mexico	MEDIUM	domain:hotelcostasol.com.mx
	B	78	Gustavo A Madero	Mexico	Villas Cartagena CDMX		hotel	Norte 1C 4835	+525553683527								overture:03aad172-07be-4fdb-9dce-0f0455edd9fd	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelcartagena.com.mx	julio_11@hotmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=03aad172-07be-4fdb-9dce-0f0455edd9fd	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:03aad172-07be-4fdb-9dce-0f0455edd9fd	hotelcartagena.com.mx	525553683527	villas cartagena cdmx	Gustavo A Madero	Mexico	PERMISSIVE	domain:hotelcartagena.com.mx
	B	78	Alto Lucero de Gutiérrez Barrios	Mexico	Cantil Hotel Spa Boutique		hotel	Avenida de la República 127	+522798270550								overture:571226d3-698b-4be3-b4d9-d6d9d871f94c	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelcantil.com.mx/	hbc_altolucero@hotmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=571226d3-698b-4be3-b4d9-d6d9d871f94c	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:571226d3-698b-4be3-b4d9-d6d9d871f94c	hotelcantil.com.mx	522798270550	cantil hotel spa boutique	Alto Lucero de Gutiérrez Barrios	Mexico	MEDIUM	domain:hotelcantil.com.mx
	B	78	San Pedro Cholula	Mexico	Hotel Boutique Camino del Bosque		resort	Sendero 1 Tepoya	+522222950209								overture:e6c8a24f-b24d-4efe-8102-9e7b54165d7a	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://hotelcaminodelbosque.com/	contacto@hotelcaminodelbosque.com									Medium	Recall-first	https://explore.overturemaps.org/#id=e6c8a24f-b24d-4efe-8102-9e7b54165d7a	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:e6c8a24f-b24d-4efe-8102-9e7b54165d7a	hotelcaminodelbosque.com	522222950209	hotel boutique camino del bosque	San Pedro Cholula	Mexico	MEDIUM	domain:hotelcaminodelbosque.com
	B	78	Hollywood	USA	Hollywood Beachside Boutique Suites		resort	609 N Ocean Dr	+17544009132								overture:4f5ccaad-98fa-4387-968b-e61198df284a	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hollywoodbeachside.com/	hollywoodbeachside@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=4f5ccaad-98fa-4387-968b-e61198df284a	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:4f5ccaad-98fa-4387-968b-e61198df284a	hollywoodbeachside.com	17544009132	hollywood beachside boutique suites	Hollywood	USA	PERMISSIVE	domain:hollywoodbeachside.com
	B	78	San Cristóbal de las Casas	Mexico	villas casitas		hotel	Avenida de los Insurgentes 42	+529676317275								overture:2fb4a70a-c34c-4775-b6bb-0db2498c4125	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://gmail.com/	admilascasitassc@hotmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=2fb4a70a-c34c-4775-b6bb-0db2498c4125	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:2fb4a70a-c34c-4775-b6bb-0db2498c4125	gmail.com	529676317275	villas casitas	San Cristóbal de las Casas	Mexico	PERMISSIVE	domain:gmail.com
	B	78	Mazamitla	Mexico	Villas las Glorias Hotel and Spa		hotel	Ignacio Allende 37	+523310646758								overture:9734e5b2-49ea-4578-92e8-e8ce917f3e14	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://carhome.con.mx/	villaslasglorias@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=9734e5b2-49ea-4578-92e8-e8ce917f3e14	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:9734e5b2-49ea-4578-92e8-e8ce917f3e14	con.mx	523310646758	villas las glorias hotel and spa	Mazamitla	Mexico	PERMISSIVE	domain:con.mx
	B	78	Palenque	Mexico	Chan-Kah Resort Village		resort	Km. 3 Carretera a las ruinas Las Ruinas, Ruinas-Palenque 3	+529163451134								overture:124ecdc4-1161-436b-9451-31946398405d	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.chan-kah.com.mx/	reservaciones@chan-kah.com.mx									High	Verified	https://explore.overturemaps.org/#id=124ecdc4-1161-436b-9451-31946398405d	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:124ecdc4-1161-436b-9451-31946398405d	chan-kah.com.mx	529163451134	chan kah resort village	Palenque	Mexico	HIGH	domain:chan-kah.com.mx
	B	78	San Cristóbal de las Casas	Mexico	Casa del Alma Hotel Boutique & Spa		hotel	Avenida 16 de Septiembre 24	+529676749090								overture:dd1beb4a-1089-4e20-a01a-4233dd3f864f	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.casadelalma.mx/	reservaciones@casadelalma.mx									High	Verified	https://explore.overturemaps.org/#id=dd1beb4a-1089-4e20-a01a-4233dd3f864f	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:dd1beb4a-1089-4e20-a01a-4233dd3f864f	casadelalma.mx	529676749090	casa del alma hotel boutique spa	San Cristóbal de las Casas	Mexico	HIGH	domain:casadelalma.mx
	B	78	San Pedro Pochutla	Mexico	Casa Bichu		resort	Domicilio Conocido, Bahía de Estacahuite	+529581198332								overture:5b9457a4-9871-45b7-916f-0ff0f2c59792	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.casabichuhotel.com/	hotelboutiquecasabichu@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=5b9457a4-9871-45b7-916f-0ff0f2c59792	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:5b9457a4-9871-45b7-916f-0ff0f2c59792	casabichuhotel.com	529581198332	casa bichu	San Pedro Pochutla	Mexico	PERMISSIVE	domain:casabichuhotel.com
	B	78	St Pete Beach	USA	Beach Haven Villas		hotel	4980 Gulf Blvd	+17273678642								overture:abc98600-5f42-4b71-9478-3dd2cf0d0482	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.beachhavenvillas.com/	info@beachhavenvillas.com									Permissive	Qualification	https://explore.overturemaps.org/#id=abc98600-5f42-4b71-9478-3dd2cf0d0482	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:abc98600-5f42-4b71-9478-3dd2cf0d0482	beachhavenvillas.com	17273678642	beach haven villas	St Pete Beach	USA	PERMISSIVE	domain:beachhavenvillas.com
	B	78	Palm Beach	USA	The Ambassador, Palm Beach - Hotel, Residences and Grill		hotel	2730 S Ocean Blvd	+15615822511								overture:38d36ac8-5e15-47fa-b7fe-93b3c05e9255	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.ambassadorpb.com/services	reservations@ambassadorpb.com									Permissive	Qualification	https://explore.overturemaps.org/#id=38d36ac8-5e15-47fa-b7fe-93b3c05e9255	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:38d36ac8-5e15-47fa-b7fe-93b3c05e9255	ambassadorpb.com	15615822511	the ambassador palm beach hotel residences and grill	Palm Beach	USA	PERMISSIVE	domain:ambassadorpb.com
	B	78	World-Atlas::usa-mexico-caribbean-premium::16-14	Mexico	Hotel Villas Sayulita		hotel		329 291 3063								overture:c7d8e5ce-1c4f-4786-82b0-df795e4d00f6	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.villasayulita.com	info@villasayulita.com									Permissive	Qualification	https://explore.overturemaps.org/#id=c7d8e5ce-1c4f-4786-82b0-df795e4d00f6	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:c7d8e5ce-1c4f-4786-82b0-df795e4d00f6	villasayulita.com	3292913063	hotel villas sayulita	World-Atlas::usa-mexico-caribbean-premium::16-14	Mexico	PERMISSIVE	domain:villasayulita.com
	B	78	Puerto Vallarta	Mexico	Villa Armonia Luxury Boutique		hotel	Carr. a Barra de Navidad 5710	+523221023772								overture:ae892bef-6f49-44c4-a228-c7f62863c71e	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.villaarmoniapv.com/	villaarmonia.pv@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=ae892bef-6f49-44c4-a228-c7f62863c71e	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:ae892bef-6f49-44c4-a228-c7f62863c71e	villaarmoniapv.com	523221023772	villa armonia luxury boutique	Puerto Vallarta	Mexico	PERMISSIVE	domain:villaarmoniapv.com
	B	78	Bahía de Banderas	Mexico	Simply Baku		beach_resort	Calle Pescador 39	+523221116127								overture:3f0130fc-2be6-446f-8856-f7f4fcb521b2	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.SimplyBaku.com/	relax@simplybaku.com									Permissive	Qualification	https://explore.overturemaps.org/#id=3f0130fc-2be6-446f-8856-f7f4fcb521b2	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:3f0130fc-2be6-446f-8856-f7f4fcb521b2	simplybaku.com	523221116127	simply baku	Bahía de Banderas	Mexico	PERMISSIVE	domain:simplybaku.com
	B	78	Puerto Vallarta	Mexico	Luxury Villas Rentals PV Properties		travel_service	Calle Ignacio Luis Vallarta 439	+18669694932								overture:1f1f1659-ba64-4f99-a5bd-14ad6923157a	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.personalvillas.com/luxury-villa-rental-puerto-vallarta	info.personalvillas.destinations@gmail.com									High	Verified	https://explore.overturemaps.org/#id=1f1f1659-ba64-4f99-a5bd-14ad6923157a	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:1f1f1659-ba64-4f99-a5bd-14ad6923157a	personalvillas.com	18669694932	luxury villas rentals pv properties	Puerto Vallarta	Mexico	HIGH	domain:personalvillas.com
	B	78	Bahía de Banderas	Mexico	Pacific Villa of Punta Mita		resort	Calle Rinconada Careyeros 34	+523223489240								overture:919a3c84-8d73-48b5-a17d-9faef33b5e57	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://pacificnomads.com/	thepacificnomads@gmail.com									High	Verified	https://explore.overturemaps.org/#id=919a3c84-8d73-48b5-a17d-9faef33b5e57	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:919a3c84-8d73-48b5-a17d-9faef33b5e57	pacificnomads.com	523223489240	pacific villa of punta mita	Bahía de Banderas	Mexico	HIGH	domain:pacificnomads.com
	B	78	Punta Chame	Panama	Hotel Punta Chame Villas		hotel	Punta Chame	+5072405590								overture:a068011d-d553-477b-847b-c537b0712275	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelpuntachamevillas.com/	info@hotelpuntachamevillas.com									Permissive	Qualification	https://explore.overturemaps.org/#id=a068011d-d553-477b-847b-c537b0712275	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:a068011d-d553-477b-847b-c537b0712275	hotelpuntachamevillas.com	5072405590	hotel punta chame villas	Punta Chame	Panama	PERMISSIVE	domain:hotelpuntachamevillas.com
	B	78	Puerto Vallarta	Mexico	Friendly Vallarta Beach Resort & Spa		resort	Boulevard Francisco Medina Ascencio 2199	+523222264600								overture:5b3279fc-a42e-476d-8013-d6351aa241bc	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.friendlyvallarta.com	reservas@friendlyvallarta.com									Permissive	Qualification	https://explore.overturemaps.org/#id=5b3279fc-a42e-476d-8013-d6351aa241bc	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:5b3279fc-a42e-476d-8013-d6351aa241bc	friendlyvallarta.com	523222264600	friendly vallarta beach resort spa	Puerto Vallarta	Mexico	PERMISSIVE	domain:friendlyvallarta.com
	B	78	Compostela	Mexico	Villas & Suite Santa Mónica		hotel	Albatros 30	+523272741314								overture:cfe07fab-a341-4735-9a07-1a3b09d605e1	2026-08-15T03:13:31Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://direct-book.com/properties/villassuitessantamnica	hotelvillassantamonica_93@outlook.com									Permissive	Qualification	https://explore.overturemaps.org/#id=cfe07fab-a341-4735-9a07-1a3b09d605e1	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:cfe07fab-a341-4735-9a07-1a3b09d605e1	direct-book.com	523272741314	villas suite santa monica	Compostela	Mexico	PERMISSIVE	domain:direct-book.com
	B	78	Sardinal	Costa Rica	Hotel Villas Playa Hermosa		hotel	De la Primera entrada a Playa hermosa 150 metros oeste	+50626721239								overture:462c0caf-2509-450d-b4c2-a12668a762f8	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.villasplayahermosa.com/	info@villasplayahermosa.com									Permissive	Qualification	https://explore.overturemaps.org/#id=462c0caf-2509-450d-b4c2-a12668a762f8	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:462c0caf-2509-450d-b4c2-a12668a762f8	villasplayahermosa.com	50626721239	hotel villas playa hermosa	Sardinal	Costa Rica	PERMISSIVE	domain:villasplayahermosa.com
	B	78	Ensenada	Mexico	Villas Del Amor		hotel	Carretera Tecate - Ensenada km 83.5 No. 28, San Antonio de las Minas	+526462759631								overture:d20704b5-f8bb-4aa2-bee4-04fabeb51462	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://villasdelamor.com/	villasdelamorvdg@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=d20704b5-f8bb-4aa2-bee4-04fabeb51462	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:d20704b5-f8bb-4aa2-bee4-04fabeb51462	villasdelamor.com	526462759631	villas del amor	Ensenada	Mexico	PERMISSIVE	domain:villasdelamor.com
	B	78	Laguna Beach	USA	The Retreat @ Laguna Beach		resort	729 Gaviota Dr	(949) 376-7170								overture:882508ee-2447-4ae5-a6ec-e841718f5322	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://theretreatinlaguna.com	info@theretreatinlaguna.com									Permissive	Qualification	https://explore.overturemaps.org/#id=882508ee-2447-4ae5-a6ec-e841718f5322	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:882508ee-2447-4ae5-a6ec-e841718f5322	theretreatinlaguna.com	9493767170	the retreat laguna beach	Laguna Beach	USA	PERMISSIVE	domain:theretreatinlaguna.com
	B	78	Montgomery	USA	The Lodge Luxury Boarding Retreat		lodge	18450 Highway 105	+19365821555								overture:8a8fc802-8688-4c98-8dc5-1c483e7b8325	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://thelodgepetretreat.com/	thelodge.staff@yahoo.com									High	Verified	https://explore.overturemaps.org/#id=8a8fc802-8688-4c98-8dc5-1c483e7b8325	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:8a8fc802-8688-4c98-8dc5-1c483e7b8325	thelodgepetretreat.com	19365821555	the lodge luxury boarding retreat	Montgomery	USA	HIGH	domain:thelodgepetretreat.com
	B	78	Granada	Nicaragua	Sultana Luxury Villas		hotel	C. Cervantes	+50525523123								overture:6516cd48-ab45-4def-9a55-0876b24a06a5	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://sultanaluxuryvillas.com/	info@sultanaluxuryvillas.com									Permissive	Qualification	https://explore.overturemaps.org/#id=6516cd48-ab45-4def-9a55-0876b24a06a5	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:6516cd48-ab45-4def-9a55-0876b24a06a5	sultanaluxuryvillas.com	50525523123	sultana luxury villas	Granada	Nicaragua	PERMISSIVE	domain:sultanaluxuryvillas.com
	B	78	Santa Monica	USA	Calmada Resort		hotel	3569, Calmada Road	+17602283141								overture:d8bc8aac-973c-479a-8407-5e1db8b19c87	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://starlightboutiquehotel.com/	info@starlightboutiquehotel.com									Permissive	Qualification	https://explore.overturemaps.org/#id=d8bc8aac-973c-479a-8407-5e1db8b19c87	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:d8bc8aac-973c-479a-8407-5e1db8b19c87	starlightboutiquehotel.com	17602283141	calmada resort	Santa Monica	USA	PERMISSIVE	domain:starlightboutiquehotel.com
	B	78	Snowshoe	USA	Snowshoe Resort Condo		ski_resort	207 Summit Rd	+13045431991								overture:da49dcb5-8c33-45a4-81ce-2d37eda19c9f	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.snowshoeresortcondo.com/	wesnowski@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=da49dcb5-8c33-45a4-81ce-2d37eda19c9f	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:da49dcb5-8c33-45a4-81ce-2d37eda19c9f	snowshoeresortcondo.com	13045431991	snowshoe resort condo	Snowshoe	USA	PERMISSIVE	domain:snowshoeresortcondo.com
	B	78	South Padre Island	USA	Sapphire South Padre Luxury Residences		holiday_rental_home	310 Padre Blvd	+19564335358								overture:7edbc3d5-23b8-4204-912f-bfc322bfc670	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.sapphiresouthpadre.com/	info@sapphiresouthpadre.com									Permissive	Qualification	https://explore.overturemaps.org/#id=7edbc3d5-23b8-4204-912f-bfc322bfc670	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:7edbc3d5-23b8-4204-912f-bfc322bfc670	sapphiresouthpadre.com	19564335358	sapphire south padre luxury residences	South Padre Island	USA	PERMISSIVE	domain:sapphiresouthpadre.com
	B	78	Springfield Twp	USA	Laurel Ridge Cross Country Ski Center		ski_resort	1101 Jim Mountain Rd	+17244557303								overture:36a0890b-91cd-4545-a984-ed3555149d77	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.riversportonline.com/	contact@riversportonline.com									Permissive	Qualification	https://explore.overturemaps.org/#id=36a0890b-91cd-4545-a984-ed3555149d77	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:36a0890b-91cd-4545-a984-ed3555149d77	riversportonline.com	17244557303	laurel ridge cross country ski center	Springfield Twp	USA	PERMISSIVE	domain:riversportonline.com
	B	78	Playas de Rosarito	Mexico	Onix Hotel and Residences		hotel	Calle Ensenada 35	+526642002939								overture:0115f032-c780-4437-9c71-b492324999f5	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.onixcondos.com/	info@onixcondos.com									Permissive	Qualification	https://explore.overturemaps.org/#id=0115f032-c780-4437-9c71-b492324999f5	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:0115f032-c780-4437-9c71-b492324999f5	onixcondos.com	526642002939	onix hotel and residences	Playas de Rosarito	Mexico	PERMISSIVE	domain:onixcondos.com
	B	78	Acajutla	El Salvador	Villavela Hotel Boutique		hotel	Av. Miramar	+50324526910								overture:92e72f0e-fb13-4aa5-a7a3-24407eaea22a	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://hotelvillavela.com/	info@hotelvillavela.com									High	Verified	https://explore.overturemaps.org/#id=92e72f0e-fb13-4aa5-a7a3-24407eaea22a	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:92e72f0e-fb13-4aa5-a7a3-24407eaea22a	hotelvillavela.com	50324526910	villavela hotel boutique	Acajutla	El Salvador	HIGH	domain:hotelvillavela.com
	B	78	Tijuana	Mexico	Hotel D'Elegantes		hotel	Avenida Revolución 910	+526646880013								overture:48735bc3-630e-452c-b15c-6a301e5ccceb	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hotelrevolucion.com/	hoteld_elegantes@hotmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=48735bc3-630e-452c-b15c-6a301e5ccceb	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:48735bc3-630e-452c-b15c-6a301e5ccceb	hotelrevolucion.com	526646880013	hotel d elegantes	Tijuana	Mexico	PERMISSIVE	domain:hotelrevolucion.com
	B	78	Departamento de La Paz	El Salvador	Hojas Eco Villas		hotel	Playa Las Hojas	+50369943358								overture:42988d38-6bf9-4c0a-8f68-b3d04a099295	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.hojasbeach.com/	hojasecovillas@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=42988d38-6bf9-4c0a-8f68-b3d04a099295	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:42988d38-6bf9-4c0a-8f68-b3d04a099295	hojasbeach.com	50369943358	hojas eco villas	Departamento de La Paz	El Salvador	PERMISSIVE	domain:hojasbeach.com
	B	78	Basye	USA	Chalet High by SPM Resorts		hotel	2742 Fairway Dr	(540) 333-4919								overture:16a4fabb-a887-43c8-bea2-4b3e891848b1	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://chalethigh.org	info@chalethigh.org									High	Verified	https://explore.overturemaps.org/#id=16a4fabb-a887-43c8-bea2-4b3e891848b1	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:16a4fabb-a887-43c8-bea2-4b3e891848b1	chalethigh.org	5403334919	chalet high by spm resorts	Basye	USA	HIGH	domain:chalethigh.org
	B	78	Cape May	USA	La Mer Beachfront Resort		beach_resort	1317 Beach Ave	+16097704810								overture:34bbfaf6-bbc8-4b0a-bcd7-8b61a9fd9ba6	2026-08-15T03:08:36Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.capemaylamer.com/	info@capemaylamer.com									Permissive	Qualification	https://explore.overturemaps.org/#id=34bbfaf6-bbc8-4b0a-bcd7-8b61a9fd9ba6	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:34bbfaf6-bbc8-4b0a-bcd7-8b61a9fd9ba6	capemaylamer.com	16097704810	la mer beachfront resort	Cape May	USA	PERMISSIVE	domain:capemaylamer.com
